Name,area_acres,status,tc_loss_2001,tc_loss_2002,tc_loss_2003,tc_loss_2004,tc_loss_2005,tc_loss_2006,tc_loss_2007,tc_loss_2008,tc_loss_2009,tc_loss_2010,tc_loss_2011,tc_loss_2012,tc_loss_2013,tc_loss_2014,tc_loss_2015,tc_loss_2000_2015,tc_extent,tc_gain,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,co2_2014,co2_2001_2014,tc_percent_all,tc_percent_active,tc_percent_proposed,geostore
Sehyi,1645.694381,Active,0.8648675,13.8131695,10.9467515,0.8648675,1.532051,4.151364,6.3505985,5.9058095,3.95368,0.2223945,1.7544455,6.128204,25.20471,15.122826,59.3793315,156.219781,1629.731607,25.847183,272.3479781,2789.160006,2493.266721,49.6165731,214.6380008,332.9934012,657.5167623,923.1059966,531.5767385,52.55643822,216.3275673,564.0995643,3917.339075,1528.190311,14542.73513,14.17115364,,,48e2bcb0e2d13b4c3cff5c6e823b12e4
Beyan Poye,,Proposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Blei,1527.677936,Active,0,16.4324825,7.2401765,0.2223945,0,1.532051,4.3737585,0.444789,5.7081255,0,0,0,0,0,0.2223945,36.1514615,1514.901913,19.4965845,0,2430.421075,708.3209387,0,1.014618822,200.7235135,826.2046402,120.5533407,1418.354915,0,0,0,13.97499435,0,5719.568036,,,,02acf58961fb96f500e5789486201649
Bloquia,108844.143,Active,33.408596,212.0902215,110.109988,21.3251615,90.984061,78.4558375,296.03179,30.986967,265.9096905,20.657978,156.6892805,323.9299445,481.311119,354.052044,284.5908285,2760.533508,107566.042,230.9690435,5094.377544,34392.71621,15070.09888,3326.636636,13285.15806,12996.08231,49713.82532,5154.111748,40621.59281,3146.386956,23838.68596,49927.72277,67472.13855,39866.68813,363906.2219,,,,446d9aef5853c781bf6803e9e3d2dc3f
Buluyeama,124271.4106,Active,56.2658085,19.916663,28.911285,13.34367,18.384612,55.1785465,50.5823935,32.173071,103.339311,31.975387,40.278115,109.8875935,233.3906725,296.0070795,482.299539,1571.983168,123167.8069,76.404866,13894.91866,4451.892007,6699.724083,3171.481068,3393.531403,12369.78779,11606.14905,6418.515805,21363.96071,7229.666832,6535.146768,23217.04565,50631.67273,54074.12421,225057.6168,,,,31955275c7d4288fcceaa6f310a9ded2
Chedepo,106615.0463,Proposed,320.9152635,533.153748,360.9462735,45.96153,3.0888125,326.1786,259.9791705,186.514854,508.9621685,202.13189,85.1276725,123.8243155,129.334757,799.977727,1139.598839,5025.720332,105543.5864,1181.606689,45555.42465,86191.84969,55145.62753,7921.606547,588.6295383,51682.54865,38397.26586,26918.14467,75613.75173,29500.51486,11769.07331,16441.13855,16643.34504,87480.68976,549849.6104,,,,bd2016cd1896a61515a142bee7f7431e
District 3B,123762.1983,Proposed,490.997635,1174.317092,190.1472975,52.485102,246.166001,485.511904,1332.612555,345.403369,1391.67065,268.306609,1066.258075,1867.075959,2197.084687,1776.808503,2469.765054,15354.6352,122311.4893,1563.408625,85856.09941,196280.9633,32770.40711,9022.702544,44508.18687,83246.46657,224421.8318,58100.46025,230680.1939,42275.69838,177400.0326,301879.7747,336410.0507,65122.52322,1887975.391,,,,6cb8e057b0da6dfbd1aca98ac68649dd
District 3C,123817.2421,Proposed,128.642863,944.9048095,187.4785635,67.6326385,149.0784465,240.4084545,676.2028325,297.909788,726.7110945,110.4312245,422.1788925,1369.727726,838.0071865,951.057724,1599.807191,8710.179435,122786.771,1047.453385,24342.25164,175913.0112,37451.0462,14106.54559,29005.28396,44158.03531,125986.0808,57052.65922,137622.4228,20566.04104,83917.84817,246938.1535,148086.5369,80321.085,1225467.001,,,,87685ce168812088ffd388a8501a9bad
Doru,91398.69232,Active,45.269636,134.91933,10.328989,9.6618055,53.176996,44.380058,85.0288305,2.6440235,94.2705575,2.421629,45.4920305,98.2242375,213.8199565,61.084356,67.014876,967.7373115,90084.5988,181.3009385,6405.255808,23801.30581,1590.548895,2001.035334,8484.159609,6587.60097,14024.7843,335.0675942,15786.54002,253.6890567,6053.312488,14856.39075,34494.21663,7239.608958,141913.5162,,,,182d8696c227789b642e688a0e488e3f
Garwin,91198.7001,Proposed,223.580604,625.66986,75.317604,27.4533655,119.252873,140.553324,687.841478,116.1640605,572.542285,65.2110095,518.080343,826.220278,1101.396406,745.3922325,814.804027,6659.529171,90456.36827,705.633038,40345.47307,113826.1804,14000.88901,4450.372226,21427.09569,24967.96009,118792.4968,23336.40611,104695.9052,9869.876812,95768.14524,147662.9069,184567.0468,51456.14704,955166.9013,,,,891fc2c7211264d44e6da61bd59309f0
