Name,area_acres,status,tc_loss_2001,tc_loss_2002,tc_loss_2003,tc_loss_2004,tc_loss_2005,tc_loss_2006,tc_loss_2007,tc_loss_2008,tc_loss_2009,tc_loss_2010,tc_loss_2011,tc_loss_2012,tc_loss_2013,tc_loss_2014,tc_loss_2015,tc_loss_2000_2015,tc_extent,tc_gain,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,co2_2014,co2_2001_2014,tc_percent_all,tc_percent_active,tc_percent_proposed,geostore
Gba,27228.79598,Active,31.332914,383.358697,104.27831,29.5784685,22.1158975,65.5075355,111.0736975,93.109164,73.6125795,21.4734245,62.4434335,93.3315585,284.3437235,194.323372,367.791082,1937.624437,27035.33797,281.7244105,5848.230365,76724.97262,17480.51949,6439.714198,5105.890553,13118.49659,23025.51903,19388.31993,16452.13429,3955.687057,11991.49372,16247.47062,45822.34548,16631.46845,278232.2624,,,,98fe99e4f46c58b022bbca4322471d2c
Gbi,78437.44126,Active,79.4936785,445.77742,128.4698895,30.097389,87.4010385,274.929023,631.1308805,241.569848,600.5887025,68.9670055,431.0746725,840.404105,686.6800845,633.3054045,935.4653985,6115.35454,77866.12142,495.19842,14139.6283,90959.05652,29102.34528,6173.093019,20810.3938,53251.40162,129623.396,53988.59938,118864.3454,12975.70948,90467.38896,165396.1325,142851.4834,84863.78133,1013466.755,,,,df4b73e6d99e3bbf9860226668a5468a
Gbarsaw Dorbor,52845.98341,Proposed,113.618879,430.5310415,33.1862015,10.5513835,53.8441795,38.449538,436.9063505,133.832068,705.484775,98.6690265,372.288393,695.600575,523.071864,717.3705255,705.287091,5068.716602,52326.13935,726.3651475,17252.42989,60101.64804,4830.146908,1361.679086,8648.933041,4699.032127,60317.19071,19141.88984,101746.0243,14633.16978,50996.88439,100582.2387,73622.8575,54106.48952,572040.6139,,,,a44dcf2b4417fd9ea7fe5ad19fb527a0
Korningba A,120154.3305,Proposed,6.572993,6.572993,10.9467515,14.678037,5.040942,34.6194105,22.140608,21.0286355,70.5484775,19.0517955,27.6016285,31.777703,108.676779,79.9878885,180.979702,640.249055,118959.1393,36.5962505,1816.852819,2764.380255,3091.929333,2969.762132,1144.881615,8218.191489,3478.86508,4770.967883,15716.90283,5137.238958,6637.454636,6555.321196,24924.07485,15833.45274,103060.2758,,,,ac330b5d9281445808540ed6d40cbaaa
Korningba B,79158.23541,Proposed,41.6371925,60.7136985,27.626339,69.9060045,45.368478,354.6203855,236.479485,308.8071185,750.902674,254.913518,235.392223,518.9946315,660.5857965,750.457885,1110.761686,5427.216536,78513.63536,452.597518,7155.945924,10734.18766,6121.489356,15330.24465,9430.710664,67756.29989,44927.74421,56073.89919,137998.9978,44991.61837,45627.21347,92817.10876,117969.0814,131683.8005,788618.3419,,,,e9da9a5cfe80a772f0b97e52a8735793
Neezonie,105749.8602,Active,75.564709,423.982759,109.3933835,6.820098,37.3375655,143.666847,277.449494,71.611029,430.3333575,101.708418,231.092596,239.2223505,325.140759,353.2365975,235.491065,3062.075739,104872.7458,576.446544,13921.87131,74772.53979,21061.8821,738.4629132,7821.590836,23257.51511,47823.06823,12627.95495,75874.28087,16898.10203,38489.33194,37564.30069,54859.42812,22865.71816,448576.0471,,,,b429982ec3c021640d7b78e8ce560fad
Nimopoh,18131.8154,Active,0,4.1760745,0.6671835,0.2223945,30.591599,1.1119725,1.1119725,5.93052,2.1992345,0.6671835,1.7544455,3.508891,33.4333065,16.506614,0,101.8813915,17985.63627,28.812443,0,1003.519011,183.4891049,0,6821.822198,184.2878781,224.0280719,1717.650681,457.1981268,200.347492,358.3715861,639.2333066,7073.466845,3107.13632,21970.55062,,,,2d3128e8b89fc265116098cd44815bc2
Nitrian,2356.492054,Active,0,7.709676,0.2223945,0.889578,1.97684,0.6671835,6.1529145,3.7312855,20.460294,2.6440235,4.6208635,0.6671835,1.1119725,1.1119725,0,51.941471,2337.193222,27.9475755,0,1889.625266,133.6443999,279.8423041,246.141003,141.6430452,1683.81067,375.8330321,4318.931803,514.1003856,846.5044173,0,166.1382993,329.4347568,10925.64938,,,,ccd6f087d9729654ffd47d9818981465
Pellokon,15444.26115,Proposed,87.4998805,113.4459055,44.182374,0.2223945,4.843258,26.390814,25.2788415,14.0602745,49.470421,16.4819035,30.1220995,31.6541505,37.362276,52.7569175,85.5230405,619.3192615,15335.36101,160.4946975,12561.58513,16866.58836,7257.97852,175.3203083,340.3964671,4472.539842,3673.713371,1735.368718,7093.721128,2025.025059,4231.101995,4804.312157,5515.672547,6437.462011,77190.78562,,,,a9ccadfa9e7a9ba5dfd0773ca46416ff
Kiteabo,37297.24381,Proposed,178.8793095,194.9411345,130.47144,5.0656525,5.732836,197.8075525,88.661274,73.7114215,153.5757575,128.049811,15.617036,27.0579975,76.5778395,201.7612325,505.181462,1983.067046,36810.6388,723.424598,22273.71959,26701.74905,19492.87467,499.3803554,501.5645518,30108.55413,13017.89592,10265.62952,22317.9309,17639.39917,2089.940282,3738.297131,9811.834112,17379.96803,195838.7374,,,,681858f348cbadfd5d37daf2eda62bbc
Bo-Quilla,20214.5774,Active,15.7900095,194.619898,90.193325,28.318233,11.6386455,73.291343,153.600468,207.5929105,149.2267095,17.544455,37.312855,332.2326725,919.625968,564.3631095,459.911826,3255.262428,20057.90822,78.777074,2887.024089,37907.68705,15301.15383,4449.98417,2681.104428,12654.95506,28460.82591,35997.61248,28622.63971,3345.559512,5292.660795,65147.01736,171324.7464,48041.22168,462114.1925,,,,41e1029d451ad35c4fd561af984cc590
Gbear-Gblor,22180.24841,Active,4.8185475,90.44043,28.9854165,10.971462,5.485731,28.9854165,74.62571,139.169536,66.4959555,2.1992345,15.5923255,260.7699065,247.154421,298.50284,192.939584,1467.136517,21993.55581,87.3516175,1237.429955,18372.92226,5447.230501,2978.69177,1519.340852,5569.836417,14825.38485,29065.81727,14326.99459,472.377651,3302.055704,52718.00522,48820.01155,36637.5844,235293.683,,,,bc4c12bf6ae0388237ed96cb8aeac064
Gblor,4644.744535,Active,0,1.97684,0.889578,0,0.2223945,0.6671835,0.6671835,1.087262,1.3096565,0,0,3.95368,0.889578,14.925142,0,26.5637875,4614.389349,0,0,370.8258055,112.6757757,0,0,0,286.3234296,100.1546731,226.8410583,0,0,907.3086683,190.3770233,1974.846898,4169.353332,,,,6264e08518fd6387b8910b74d4085203
Kparblee,24707.94075,Active,28.318233,37.510539,15.1475365,2.1992345,4.596153,11.1938565,12.7259075,33.5815695,12.948302,1.3096565,21.7205295,19.521295,186.7372485,118.9316365,51.5708135,558.012511,24554.08254,24.5869475,7011.051862,7085.245928,3007.81263,646.6809675,722.850014,2009.270415,2048.136798,6155.530086,2419.984341,336.8492594,4966.276768,4106.899951,35966.40322,18181.43559,94664.42783,,,,855999c86adc37be3d66f71a88a42b15
