Name,area_acres,status,tc_loss_2001,tc_loss_2002,tc_loss_2003,tc_loss_2004,tc_loss_2005,tc_loss_2006,tc_loss_2007,tc_loss_2008,tc_loss_2009,tc_loss_2010,tc_loss_2011,tc_loss_2012,tc_loss_2013,tc_loss_2014,tc_loss_2015,tc_loss_2000_2015,tc_gain,tc_extent,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,co2_2014,geostore
Lake Piso,"238,387.85",Active,717.86,645.14,268.13,61.43,65.83,689.47,296.67,221.83,"1,425.23",132.10,478.82,725.67,"3,298.98","5,044.10","5,424.33","19,495.62","1,586.64","179,328.65","105,650.29","90,973.94","39,278.10","10,152.72","9,769.57","98,551.59","37,467.26","30,562.63","191,238.26","16,650.89","64,303.37","98,388.19","401,753.37","407,730.53",773e13b4824ee9232866b31d98a845fc
East Nimba,"33,774.55",Active,64.62,122.66,64.62,5.49,6.13,26.07,47.77,23.01,14.46,2.62,10.95,74.03,46.23,33.31,60.91,602.86,214.66,"32,264.65","13,973.13","24,149.10","13,858.25",785.95,"1,896.49","6,196.87","9,673.32","4,737.13","3,194.96",232.58,"2,273.74","17,474.22","11,024.51","3,640.90",b779e171664ba39bfaa37ab04148929c
Sapo,"374,578.84",Active,9.46,20.68,21.99,7.49,187.43,17.59,22.88,36.52,15.84,19.57,13.86,11.44,36.08,32.54,4.40,457.74,43.56,"372,129.28","1,700.14","4,623.77","3,465.47","1,060.26","44,958.16","3,032.74","4,064.16","6,194.90","3,738.41","3,908.06","3,177.97","2,110.75","8,888.08","5,671.26",133a877b3be0d933d89f45defd21b3ad
Nimba West,"26,089.99",Proposed,11.39,445.53,43.14,12.92,15.35,49.94,108.43,62.86,53.67,17.74,64.17,97.48,297.46,211.15,672.89,"2,164.17",307.32,"25,885.34","2,499.03","84,464.52","7,675.34","2,755.21","3,888.76","9,626.74","21,205.87","13,006.39","10,440.73","3,482.10","11,559.75","16,232.32","43,779.43","15,422.30",b3f68fe864ec80fcb33dbdb1d6357fa9
Grand Kru-River Gee,"336,288.96",Proposed,266.75,757.85,578.65,103.88,171.94,462.21,257.31,192.40,549.41,554.50,123.68,659.47,430.56,"1,395.72","1,105.62","7,609.94","1,421.57","325,726.84","50,984.55","148,499.86","106,878.32","18,682.68","28,852.25","87,072.49","49,492.70","40,810.48","97,609.90","106,348.06","24,822.38","127,092.95","81,740.26","199,753.92",af25610a531180cade0198afcc641981
Senkwehn,"200,012.39",Proposed,54.56,220.66,38.05,16.93,144.98,57.65,76.55,197.34,241.57,43.56,152.46,138.38,220.00,179.52,90.64,"1,872.91",345.40,"194,669.32","10,341.15","40,611.16","6,217.76","2,198.48","28,091.14","12,133.67","14,450.84","32,358.09","40,700.15","7,879.69","29,755.56","24,350.22","41,250.90","23,633.24",00bac3e1a7c522eb4756c6db511e3b22
Bong Mountain,"61,762.36",Proposed,186.69,341.99,272.24,103.76,139.07,868.50,264.13,196.32,590.78,246.56,196.10,399.91,"1,083.01","1,169.47","2,266.10","8,324.65",740.82,"60,870.24","36,344.08","62,167.13","44,878.36","20,348.36","25,893.36","156,998.17","48,036.13","36,949.44","109,170.42","43,889.97","35,490.79","71,283.38","174,273.90","148,127.25",f57027ebca24f1a91eca803392bd5e0d
Foya,"409,551.92",Proposed,217.38,182.12,183.20,75.96,47.27,236.85,159.58,234.65,417.01,281.70,105.93,498.36,962.20,873.54,"1,875.33","6,351.12",581.39,"404,441.40","38,935.94","36,064.16","34,172.55","13,936.87","9,920.16","47,559.22","29,154.89","45,955.11","89,454.76","58,627.67","22,580.64","88,260.88","171,815.63","139,879.57",cece055f98d81b137beb7ef4ed31bd55
Gbi/ Krahn-Bassa,"164,039.12",Proposed,13.62,56.49,14.73,1.75,2.64,6.82,10.77,4.62,4.18,7.91,11.22,4.40,82.63,10.55,0.00,232.28,24.83,"162,958.06","2,415.11","9,385.37","2,362.18",281.26,512.79,"1,286.92","2,003.79",521.58,908.68,"1,269.95","2,052.53",717.35,"13,741.72","1,266.31",da75d89729418d5f280253a970d61976
Wonegisi,"94,521.69",Proposed,69.56,60.37,8.53,13.79,29.97,26.69,180.46,159.26,342.34,73.07,198.20,183.55,750.98,"1,061.37","1,217.56","4,375.66",137.81,"93,734.44","13,716.10","9,073.23","2,044.27","1,756.48","4,795.06","4,458.45","31,460.61","26,003.96","55,629.79","16,000.26","37,123.64","24,641.58","122,944.07","154,556.84",99275e5297aaa199502ff4dc1e54a69a
Gola,"221,437.22",Active,82.61,31.56,4.37,18.19,19.27,77.12,85.23,16.21,186.02,15.12,28.27,51.50,156.20,82.80,138.68,993.11,78.43,"219,526.45","16,963.35","5,795.67",665.67,"4,944.56","4,932.14","14,249.80","14,747.07","2,602.96","37,801.58","3,334.68","6,844.38","11,819.71","28,946.58","12,127.53",82f642c85671052f9744112818076ba6
Wologizi,"247,707.95",Proposed,113.30,69.36,24.93,57.08,38.28,94.49,251.78,180.66,413.21,264.01,267.54,633.03,"1,094.48","1,966.76","1,887.78","7,356.69",249.58,"245,603.24","19,465.85","16,885.23","3,845.16","12,045.04","6,326.27","15,368.61","43,440.69","30,955.19","73,350.66","50,343.53","52,664.78","110,634.14","216,714.24","352,558.44",6a900baf9585fea72df5bcc1e7d9f926
Kpo Mountains,"208,192.44",Proposed,163.48,66.84,88.09,115.05,31.56,238.85,186.47,152.29,493.72,187.36,118.34,231.41,447.68,711.76,"1,054.05","4,286.93",286.20,"206,798.32","35,513.26","11,025.65","18,387.79","23,730.15","7,484.76","50,121.05","36,826.34","32,730.70","94,638.11","40,253.11","26,016.00","46,229.08","83,253.16","121,817.92",7362b3156a45b684cafe245783d028f4
Zwedru,"158,583.85",Proposed,201.17,348.74,120.78,1.98,8.99,163.16,257.16,218.29,296.06,190.42,177.00,194.82,140.78,471.75,450.67,"3,241.77",288.57,"157,425.53","39,220.59","70,281.27","24,146.01",872.71,"2,940.55","32,624.12","54,241.26","44,443.05","65,349.21","35,860.16","41,684.19","39,420.22","27,607.31","58,125.09",87c683ab2c99127f5c95d39ea3a341e0
Grebo,"241,638.56",Proposed,88.41,118.12,36.08,24.86,3.09,106.90,68.84,52.78,136.15,129.53,41.79,43.76,30.12,246.54,101.39,"1,228.31",182.12,"237,723.31","13,389.72","19,443.61","4,822.06","4,897.48",831.94,"16,222.00","12,864.71","9,096.36","20,315.47","19,946.64","6,884.25","8,053.13","5,012.58","27,338.91",ce64e8395f0305ce5324178e6bfc58b4
Margibi Mangrove,"59,244.32",Proposed,45.69,69.19,129.38,3.06,6.15,38.23,35.36,144.53,358.92,50.31,80.61,97.75,103.46,304.90,174.41,"1,641.94",45.47,"35,292.13","5,345.75","9,609.73","14,728.41",268.62,"1,179.57","4,186.88","4,189.44","16,051.75","42,061.67","6,299.20","10,081.78","13,164.20","11,202.24","22,620.72",ce76461e55411cf7b342788264af33bd
